,time,O,C,H,L,volume,amount,r_1,r_5,r_10,k,rsi,x_1,x_2,y_pred
420,2018-04-16 09:31:00,5961.024,5931.596,5998.655,5879.644,13873.0,16588534200.0,-0.018158687813532824,-0.028365721468555836,-0.02338814039256924,57.29946239,45.8117436,0.1339244571314555,-0.3388518204859885,0.0015675060873337465
421,2018-04-17 09:31:00,5938.203,5823.8859999999995,5972.233,5797.594,17565.0,20787718920.0,0.010995407533732642,0.008946088573849086,0.005511096886168524,49.1341489,36.50918294,-0.2542761443274661,-0.9949882389159782,0.0035041594705754846
422,2018-04-18 09:31:00,5862.788000000001,5887.922,5931.33,5750.474,22269.0,26173803280.0,0.007232602605808983,-0.002217081000733226,-0.007479209133544798,47.24541946,44.10107224,-0.34407133780033444,-0.4595104025995675,0.0019236421662097692
423,2018-04-19 09:31:00,5904.119000000002,5930.507,5994.715,5889.898,19940.0,23851820600.0,-0.0196194018487794,-0.02644411346281175,0.005418760992947217,47.62347522,48.69111259,-0.32609756697123543,-0.13576162570117115,0.0009680647184574855
424,2018-04-20 09:31:00,5921.331,5814.154,5922.672,5784.413000000001,18839.0,22197073400.0,-0.008739362596862898,0.0002997856609920348,0.02977733303933847,43.22896696,38.87829521,-0.5350241136050499,-0.8278879214323898,0.003010945885556518
425,2018-04-23 09:31:00,5824.355,5763.342,5865.863,5679.869000000002,13632.0,15740976200.0,0.019545083390851963,0.005122895708774149,0.03529983124374676,39.7823051,35.37569781,-0.6988875352258068,-1.074936212460485,0.003740134047049647
426,2018-04-24 09:31:00,5739.419,5875.986999999999,5898.63,5739.419,13373.0,15695016800.0,-0.00019043609184274537,-0.0034045344211958268,0.019648443742302468,41.9816502,47.23205702,-0.594324851664256,-0.2386730208513889,0.0012718181697118644
427,2018-04-25 09:31:00,5864.416,5874.868,5897.781999999997,5849.809,10588.0,12492190200.0,-0.017223876349221817,-0.005273820620310137,0.012751095003326041,43.76405756,47.13541343,-0.5095844911080802,-0.2454895718339025,0.0012919379133376075
428,2018-04-26 09:31:00,5873.1359999999995,5773.68,5886.925,5761.531,12155.0,14197120720.0,0.007311974338723249,0.03272834656579508,0.02557692840614648,40.69365688,39.01435699,-0.655559460979798,-0.8182910918843399,0.002982619866925976
429,2018-04-27 09:31:00,5793.945,5815.897,5818.595,5737.388000000001,12701.0,14768851920.0,-0.0039598362900860285,0.02946871308071695,0.02715505449976169,40.37492482,43.57715319,-0.6707128261932433,-0.4964639234180219,0.0020327142419329825
430,2018-05-02 09:31:00,5826.47,5792.8669999999975,5852.045,5749.313,11045.0,12850578440.0,0.0108952958871665,0.03002313017025942,0.02937578231987721,39.07353925,41.66411024,-0.7325841384977461,-0.6313963571201785,0.0024309810457534536
431,2018-05-03 09:31:00,5781.618,5855.982,5883.186,5709.693,13861.0,16124672520.0,-0.0020657508851631983,0.023131730937697527,0.010418235575177659,41.76876568,48.61856728,-0.6044459448478191,-0.1408784555308296,0.0009831675621996328
432,2018-05-04 09:31:00,5857.725,5843.885,5883.606,5824.871,11024.0,12961276240.0,0.020321755133785112,0.01812047978356868,0.01870211340572249,43.48964467,47.40012604,-0.5226308057506894,-0.2268186284037248,0.0012368287245367623
433,2018-05-07 09:31:00,5857.88,5962.643,5982.806,5853.566,12587.0,14996911200.0,0.004132563361583504,-0.006924781510481168,0.013379134051795884,51.21027599,58.80282170000001,-0.15557157088638435,0.5774463653167884,-0.0011370412167762466
434,2018-05-08 09:31:00,5970.595,5987.284000000002,5990.979,5952.754,10211.0,12254540560.0,-0.003423422039109025,-0.002247429719385609,0.009041328255014636,58.94852974,60.78708785,0.21232548091336886,0.7174023766192568,-0.00155013562089804
435,2018-05-09 09:31:00,5981.179,5966.7869999999975,5998.486999999999,5940.254,8825.0,10580911600.0,0.004131871977330896,-0.0006284789452011612,-0.0003182617378493157,64.13223842,58.16539616,0.4587727030351285,0.5324869045706966,-0.0010043387949673992
436,2018-05-10 09:31:00,5970.439,5991.441,6009.505,5928.659000000002,10226.0,12273382040.0,-0.006953585957034269,-0.012426059106648938,-0.008624803281881635,69.19686802,60.47225958,0.6995585907165405,0.6951966312284699,-0.001484593104539362
437,2018-05-11 09:31:00,5993.439,5949.779,6001.473000000001,5938.052,10808.0,12951930640.0,-0.004777656447407607,0.0005712817232371726,-0.017007690537749538,71.01053159,54.73437721,0.7857849541721995,0.29048724794943825,-0.0002900521914889088
438,2018-05-14 09:31:00,5954.951,5921.353,5972.158,5897.196,11813.0,14095291320.0,0.008861994885290636,0.02044549615603095,-0.011912480137563231,70.94170541,51.01858014,0.7825127755222503,0.028401369637901363,0.00048352093854163924
439,2018-05-15 09:31:00,5927.494000000002,5973.828,5979.335,5904.221,14199.0,16944903360.0,-0.001806379427061324,0.011314185811844436,-0.03480548820622228,73.80145609,57.07103355,0.9184728872017544,0.4552983551343423,-0.0007765089394456879
440,2018-05-16 09:31:00,5963.229,5963.0369999999975,5995.901,5945.659000000002,15790.0,18929112600.0,-0.007721904123686902,0.0003104122949435492,-0.0566293652043409,75.58470573,55.4849109,1.0032532919770527,0.34342455255473203,-0.0004463020309793831
441,2018-05-17 09:31:00,5956.704000000002,5916.991,5966.736,5906.888000000001,17546.0,20907552800.0,0.006115777428088163,0.0038490847797469415,-0.03501593968961594,74.5110319,48.95375905,0.9522079981145264,-0.11723641378627085,0.0009133856710482463
442,2018-05-18 09:31:00,5910.194,5953.178000000001,5955.84,5868.84,16502.0,19591633840.0,0.01499031273716351,-0.017568935449267808,-0.05406507247053596,75.62795323,53.7654198,1.0053093925214052,0.2221438887556268,-8.832981472843787e-05
443,2018-05-21 09:31:00,6020.864000000001,6042.418000000002,6084.871,6020.864000000001,11561.0,13951553800.0,-0.00016566215710381703,-0.031709656630839286,-0.06721282771234997,76.96861487,63.34985358,1.0690479930831946,0.8981616308520929,-0.002083664947162115
